,Store,Date,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
2010-01-10,1,2010-01-10,1453329.4999999998,22.16111111111111,2.603,,,,,,211.6719895,7.837999999999999,False,0.0,151315.0
2010-01-17,1,,,,,,,,,,,,,,
2010-01-24,1,,,,,,,,,,,,,,
2010-01-31,1,,,,,,,,,,,,,,
2010-02-07,1,2010-02-04,1594968.2799999998,16.81666666666667,2.719,,,,,,210.8204499,7.808,False,0.0,151315.0
2010-02-14,1,,,,,,,,,,,,,,
2010-02-21,1,2010-02-19,1611968.17,4.405555555555555,2.514,,,,,,211.2891429,8.106,False,0.0,151315.0
2010-02-28,1,2010-02-26,1409727.5900000003,8.127777777777778,2.5610000000000004,,,,,,211.3196429,8.106,False,0.0,151315.0
2010-03-07,1,,,,,,,,,,,,,,
2010-03-14,1,2010-03-09,1540163.53,27.33888888888889,2.577,,,,,,211.53124790000004,7.787000000000001,False,0.0,151315.0
2010-03-21,1,2010-03-19,1472515.7899999996,12.544444444444444,2.72,,,,,,211.215635,8.106,False,0.0,151315.0
2010-03-28,1,2010-03-26,1404429.9200000004,10.805555555555555,2.732,,,,,,211.0180424,8.106,False,0.0,151315.0
2010-04-04,1,,,,,,,,,,,,,,
2010-04-11,1,2010-04-06,1615524.71,27.05,2.705,,,,,,211.1764278,7.808,False,0.0,151315.0
2010-04-18,1,2010-04-16,1466058.28,19.066666666666666,2.8080000000000003,,,,,,210.4887,7.808,False,0.0,151315.0
2010-04-25,1,2010-04-23,1391256.12,18.24444444444445,2.795,,,,,,210.4391228,7.808,False,0.0,151315.0
2010-05-02,1,2010-04-30,1425100.7100000004,19.672222222222217,2.78,,,,,,210.3895456,7.808,False,0.0,151315.0
2010-05-09,1,2010-05-03,1554806.68,8.055555555555555,2.625,,,,,,211.3501429,8.106,False,0.0,151315.0
2010-05-16,1,2010-05-11,1551659.279999999,14.855555555555556,2.689,,,,,,211.9563939,7.837999999999999,False,0.0,151315.0
2010-05-23,1,2010-05-21,1399662.0700000005,24.68888888888889,2.826,,,,,,210.6170934,7.808,False,0.0,151315.0
2010-05-30,1,2010-05-28,1432069.9500000004,26.91111111111111,2.759,,,,,,210.8967606,7.808,False,0.0,151315.0
2010-06-06,1,,,,,,,,,,,,,,
2010-06-13,1,2010-06-08,1605491.7799999998,30.644444444444442,2.627,,,,,,211.5046621,7.787000000000001,False,0.0,151315.0
2010-06-20,1,2010-06-18,1503284.0599999996,28.950000000000006,2.637,,,,,,211.4537719,7.808,False,0.0,151315.0
2010-06-27,1,2010-06-25,1422711.5999999996,29.077777777777786,2.653,,,,,,211.3386526,7.808,False,0.0,151315.0
2010-07-04,1,,,,,,,,,,,,,,
2010-07-11,1,2010-07-05,1603955.1200000003,22.527777777777782,2.835,,,,,,210.3399684,7.808,False,0.0,151315.0
2010-07-18,1,2010-07-16,1448938.9200000004,28.41666666666667,2.623,,,,,,211.1003854,7.787000000000001,False,0.0,151315.0
