index,Consumption,Income,Production,Savings,Unemployment
1970-01-01,0.615986218,0.9722610429999999,-2.4527003119999997,4.810311502,0.9
1970-04-01,0.46037569,1.169084717,-0.551525087,7.287992337,0.5
1970-07-01,0.876791423,1.55327055,-0.35870786200000004,7.289013063,0.5
1970-10-01,-0.274245141,-0.255272381,-2.185454855,0.985229644,0.7
1971-01-01,1.897370758,1.9871536280000002,1.90973412,3.657770614,-0.1
1971-04-01,0.9119929090000001,1.447334175,0.901535843,6.051341804,-0.1
1971-07-01,0.794538845,0.531811929,0.308019416,-0.445832214,0.1
1971-10-01,1.6485874669999998,1.160125137,2.291304415,-1.53087186,0.0
1972-01-01,1.313722178,0.457011505,4.149573867,-4.35859438,-0.2
1972-04-01,1.891474954,1.016624409,1.89062398,-5.054525795,-0.1
1972-07-01,1.530714,1.9041012640000001,1.273352897,5.809959038,-0.2
1972-10-01,2.318294715,3.8902586610000003,3.4368920660000004,16.04471706,-0.3
1973-01-01,1.81073916,0.708252663,2.7990763569999997,-5.348868495,-0.3
1973-04-01,-0.041739961,0.79430954,0.8176886179999999,8.426034362000001,0.0
1973-07-01,0.354235565,0.433818275,0.868996932,2.758795652,-0.1
1973-10-01,-0.291632155,1.093809792,1.4729618690000001,11.14642986,0.1
1974-01-01,-0.877027936,-1.661684821,-0.882483578,-2.5335144869999997,0.2
1974-04-01,0.35113554799999996,-0.9383532090000001,0.074279194,-6.592644641000001,0.3
1974-07-01,0.409597702,0.094487794,-0.41314971,0.51717884,0.5
1974-10-01,-1.475808634,-0.122595985,-4.0641189319999995,11.3433954,1.3
1975-01-01,0.8322576159999999,-0.163695461,-6.851039124,-5.476190695,1.4
1975-04-01,1.65583461,4.536509557,-1.331295584,24.30960536,0.2
1975-07-01,1.419420294,-1.463765323,2.4243597230000002,-17.65616104,-0.4
1975-10-01,1.0543793190000001,0.7616635070000001,2.169042084,0.648090408,-0.2
1976-01-01,1.9799802359999998,1.168257614,3.027204713,-2.95006644,-0.6
1976-04-01,0.913916067,0.517299061,1.278811007,-1.474557549,0.0
1976-07-01,1.0553232559999999,0.733700255,1.303864873,-0.067544751,0.0
1976-10-01,1.298898253,0.594583387,1.775377653,-3.576722386,0.2
1977-01-01,1.136375865,-0.031080031,2.055160674,-9.160556577000001,-0.4
1977-04-01,0.549940731,1.238089553,3.058385074,9.090504035,-0.2
1977-07-01,0.949852624,1.518802926,1.103088875,7.944957186,-0.4
1977-10-01,1.49599724,1.9145624030000001,0.633468496,6.696276475,-0.4
1978-01-01,0.57549599,0.702666874,-0.29339056199999997,2.922963831,-0.1
1978-04-01,2.1112095980000003,0.9831413179999999,3.948152635,-6.811142586,-0.4
1978-07-01,0.417962788,0.719926198,0.871147014,4.792071621,0.1
1978-10-01,0.797927101,0.7855360490000001,1.784479911,2.371184004,0.0
1979-01-01,0.505845978,1.0575594640000001,0.42594327,7.774183367999999,-0.2
1979-04-01,-0.057753395,-0.8676510479999999,-0.20491943899999998,-5.286348956,-0.1
1979-07-01,0.9773001040000001,0.471003402,-0.29723637,-1.845496437,0.2
1979-10-01,0.268269822,0.44037974399999996,0.335609285,4.049598096,0.1
1980-01-01,-0.153918751,0.33827685799999996,0.410561413,5.861688643,0.3
1980-04-01,-2.2741101880000003,-1.4638850669999999,-4.300768323,8.243229185,1.3
1980-07-01,1.0718812340000001,1.2130150709999998,-1.641819766,5.707750442,-0.1
1980-10-01,1.316449412,1.942438646,3.780455204,9.150987872,-0.3
1981-01-01,0.5247277029999999,-0.268134056,0.24627686899999998,-5.681390022,0.2
1981-04-01,-0.01728203,-0.023630251,0.309775731,0.88183993,0.1
1981-07-01,0.401651498,2.026801832,0.9170744359999999,15.99035721,0.1
1981-10-01,-0.7528761970000001,0.195606284,-2.254577974,7.8055064970000005,0.9
1982-01-01,0.659383756,0.119698877,-2.071312935,-3.342439552,0.5
1982-04-01,0.36854173100000004,0.5754899689999999,-1.247663845,2.194001664,0.6
1982-07-01,0.769544638,0.5348440999999999,-1.4005043,0.034995626,0.5
1982-10-01,1.808760062,0.449383114,-1.90375664,-9.576514683,0.7
1983-01-01,0.968029536,0.855884249,1.146557199,0.34595460200000006,-0.5
